game_id,team_code,team_recent30_rbi
20241434,2002,113
20241437,2002,120
20241441,2002,124
20241445,2002,126
20241451,2002,137
20241455,2002,143
20241525,2002,135
20241473,2002,141
20241477,2002,132
20241481,2002,134
20241484,2002,130
20241490,2002,126
20241508,2002,114
20241511,2002,116
20241513,2002,120
20241518,2002,112
20241523,2002,105
20241536,2002,113
20250005,2002,0
20250010,2002,9
20250015,2002,13
20250020,2002,24
20250025,2002,34
20250028,2002,37
20250033,2002,39
20250038,2002,43
20250049,2002,48
20250054,2002,50
20250056,2002,53
20250066,2002,55
20250072,2002,56
20250077,2002,61
20250082,2002,64
20250089,2002,67
20250099,2002,70
20250105,2002,80
20250110,2002,81
20250115,2002,81
20250116,2002,86
20250121,2002,87
20250126,2002,94
20250138,2002,85
20250143,2002,87
20250149,2002,80
20250154,2002,75
20250159,2002,80
20250163,2002,77
20250168,2002,83
20250180,2002,83
20250190,2002,80
20250194,2002,78
20250199,2002,91
20250204,2002,94
20250212,2002,95
20250217,2002,97
20250792,2002,97
20250224,2002,99
20250229,2002,92
20250234,2002,92
20250244,2002,98
20250801,2002,98
20250249,2002,100
20250254,2002,97
20250259,2002,96
20250264,2002,97
20250268,2002,105
20250273,2002,110
20250278,2002,110
20250285,2002,99
20250290,2002,103
20250295,2002,113
20250299,2002,105
20250304,2002,106
20250310,2002,106
20250311,2002,109
20250316,2002,119
20250321,2002,112
20250329,2002,109
20250334,2002,103
20250340,2002,104
20250343,2002,104
20250348,2002,99
20250353,2002,104
20250359,2002,102
20250364,2002,103
20250369,2002,104
20250374,2002,100
20250379,2002,105
20250384,2002,110
20250392,2002,111
20250397,2002,108
20250405,2002,102
20250410,2002,105
20250415,2002,111
20250416,2002,108
20250421,2002,101
20250427,2002,107
20250434,2002,117
20250439,2002,115
20250444,2002,120
20250449,2002,113
20250454,2002,113
20250460,2002,125
20250465,2002,123
20250470,2002,126
20250475,2002,130
20250495,2002,94
20250499,2002,91
20250504,2002,93
20250509,2002,98
20250512,2002,93
20250517,2002,91
20250522,2002,91
20250529,2002,82
20250534,2002,77
20250539,2002,79
20250544,2002,79
20250558,2002,54
20250563,2002,54
20250568,2002,55
20250574,2002,53
20250585,2002,51
20250588,2002,61
20250593,2002,66
20250598,2002,73
20250601,2002,83
20250606,2002,87
20250612,2002,90
20250619,2002,92
20250624,2002,102
20250629,2002,103
20250634,2002,106
20250639,2002,103
20250644,2002,105
20250647,2002,98
20250652,2002,100
20250657,2002,104
20250664,2002,106
20250669,2002,114
20250674,2002,112
20250862,2002,116
20250866,2002,119
20250878,2002,117
20250881,2002,118
20250887,2002,105
20250893,2002,109
20250896,2002,107
20250897,2002,104
20250902,2002,98
20250909,2002,91
20250914,2002,90
20250918,2002,92
20250926,2002,82
20250930,2002,77
20250931,2002,79
20250935,2002,78
20250947,2002,71
20250990,2002,54
20250955,2002,57
20250983,2002,51
20250984,2002,54
20250993,2002,57
20230001,3001,0
20230006,3001,10
20230013,3001,12
20230029,3001,13
20230034,3001,14
20230039,3001,17
20230044,3001,22
20230049,3001,26
20230054,3001,34
20230060,3001,42
20230065,3001,49
20230070,3001,56
20230075,3001,57
20230080,3001,64
20230085,3001,64
20230090,3001,69
20230095,3001,70
20230100,3001,77
20230110,3001,81
20230115,3001,89
20230120,3001,92
20230130,3001,97
20230134,3001,91
20230139,3001,95
20230165,3001,92
20230170,3001,89
20230175,3001,92
20230179,3001,95
20230184,3001,88
20230189,3001,84
20230193,3001,78
20230198,3001,80
20230203,3001,81
20230209,3001,81
20230214,3001,86
20230219,3001,81
20230225,3001,76
20230230,3001,74
20230235,3001,75
20230237,3001,83
20230242,3001,77
20230247,3001,80
20230251,3001,80
20230256,3001,77
20230261,3001,84
20230270,3001,79
20230275,3001,91
20230280,3001,97
20230285,3001,97
20230290,3001,97
20230295,3001,99
20230299,3001,103
20230304,3001,104
20230309,3001,104
20230314,3001,103
20230319,3001,102
20230324,3001,106
20230327,3001,107
20230332,3001,107
20230337,3001,104
20230342,3001,104
20230347,3001,102
20230352,3001,103
20230356,3001,103
20230361,3001,104
20230366,3001,97
20230375,3001,92
20230380,3001,92
20230390,3001,100
20230395,3001,94
20230400,3001,94
20230409,3001,76
20230414,3001,79
20230424,3001,81
20230429,3001,78
20230440,3001,69
20230445,3001,71
20230450,3001,48
20230455,3001,49
20230460,3001,50
20230461,3001,53
20230466,3001,55
20230471,3001,60
20230479,3001,64
20230484,3001,60
20230489,3001,61
20230495,3001,62
20230500,3001,63
20230505,3001,68
20230509,3001,69
20230514,3001,67
20230519,3001,69
20230522,3001,67
20230527,3001,62
20230532,3001,70
20230540,3001,82
20230545,3001,86
20230550,3001,88
20230554,3001,93
20230559,3001,103
20230564,3001,110
20230567,3001,124
20230572,3001,128
20230577,3001,130
20230591,3001,125
20230599,3001,121
20230604,3001,116
20230609,3001,113
20230624,3001,105
20230640,3001,101
20230987,3001,100
20230644,3001,98
20230649,3001,107
20230654,3001,109
20230660,3001,110
20230665,3001,105
20230866,3001,105
20230670,3001,102
20230870,3001,92
20230872,3001,90
20230880,3001,83
20230889,3001,67
20230997,3001,67
20230903,3001,64
20230907,3001,64
20230912,3001,68
20230916,3001,69
20230931,3001,69
20230935,3001,72
20230943,3001,76
20230944,3001,84
20230947,3001,84
20230951,3001,97
20230953,3001,106
20230957,3001,107
20230963,3001,98
20230967,3001,101
20230972,3001,99
20230977,3001,97
20231013,3001,96
20231015,3001,110
20231021,3001,109
20231024,3001,109
20231027,3001,107
20240002,3001,0
20240007,3001,3
