date,game_id,status,game_time,Stadium_code,away_team,home_team,away_sp_id,home_sp_id,away_sp_name,home_sp_name,away_score,home_score,weather_code,temperature,humidity,wind_direction,wind_speed,rain_probability,leagueType,season,target_home_win,is_draw
2023-05-11,20230173,3,18:30:00,4001,1001,7002,15001,15643,수아레즈,산체스,0.0,4.0,10100,24.5,29,21300,2.0,,10100,2023,1.0,0
2023-05-11,20230174,3,18:30:00,6001,9002,2002,14581,15432,오원석,윤영철,5.0,3.0,10400,22.5,52,21500,2.2,,10100,2023,0.0,0
2023-05-11,20230175,3,18:30:00,8001,6002,3001,15538,12930,딜런,나균안,6.0,7.0,10100,19.7,32,20700,1.1,,10100,2023,1.0,0
2023-05-12,20230176,3,18:30:00,1001,2002,6002,14788,14769,이의리,김동주,1.0,6.0,10100,24.2,19,21100,2.8,,10100,2023,1.0,0
2023-05-12,20230177,3,18:30:00,1003,11001,10001,14763,13091,이용준,안우진,4.0,7.0,10100,23.1,28,21100,2.8,,10100,2023,1.0,0
2023-05-12,20230178,3,18:30:00,2001,7002,9002,10610,10131,장민재,박종훈,5.0,2.0,10100,19.8,54,21500,1.0,,10100,2023,0.0,0
2023-05-12,20230179,3,18:30:00,2002,3001,12001,11310,11308,박세웅,고영표,1.0,2.0,10100,22.3,32,21300,3.3,,10100,2023,1.0,0
2023-05-12,20230180,3,18:30:00,7003,5002,1001,14143,10363,이지강,백정현,0.0,4.0,10400,23.5,28,20900,2.8,,10100,2023,1.0,0
2023-05-13,20230181,3,17:00:00,1001,2002,6002,15534,14770,메디나,최승용,1.0,5.0,10400,21.8,40,21300,3.1,,10100,2023,1.0,0
2023-05-13,20230182,3,17:00:00,1003,11001,10001,14155,13940,송명기,요키시,2.0,9.0,10400,20.9,46,21500,4.3,,10100,2023,1.0,0
2023-05-13,20230183,3,17:00:00,2001,7002,9002,15013,15462,문동주,송영진,5.0,8.0,10400,18.2,57,21300,1.8,,10100,2023,1.0,0
2023-05-13,20230184,3,17:00:00,2002,3001,12001,10863,11318,한현희,엄상백,5.0,0.0,10400,20.5,47,21300,3.4,,10100,2023,0.0,0
2023-05-13,20230185,3,17:00:00,7003,5002,1001,13934,14613,켈리,허윤동,7.0,4.0,10100,23.3,46,21100,2.4,,10100,2023,0.0,0
2023-05-14,20230186,3,14:00:00,1001,2002,6002,10058,13941,양현종,알칸타라,4.0,8.0,10100,23.8,28,21100,2.6,,10100,2023,1.0,0
