game_id,player_id,team_code,vs_team,game_date,G,GS,IP,R,ER,TBF,H,HR,BB,SO,NP,ERA,WHIP,OPS,IP_real,is_starter_actual,role_game
20230509,10131,9002,3001,08-04,1,1,4.2,1,1,22,2,0,4,3,121,1.93,1.29,0.542,4.666666666666667,1,starter
20230559,10131,9002,3001,08-16,1,1,5.0,4,4,24,3,1,7,2,105,7.2,2.0,0.9,5.0,1,starter
20240017,10131,9002,7002,03-27,1,1,2.0,1,0,12,1,0,6,2,59,0.0,3.5,0.75,2.0,1,starter
20240070,10131,9002,11001,04-07,1,1,4.0,7,7,22,7,3,2,6,88,15.75,2.25,1.35,4.0,1,starter
20240093,10131,9002,12001,04-13,1,1,6.0,3,3,25,5,2,2,5,97,4.5,1.17,0.82,6.0,1,starter
20240117,10131,9002,5002,04-19,1,1,3.1,1,1,13,2,0,1,6,61,2.7,0.9,0.481,3.333333333333333,1,starter
20240145,10131,9002,3001,04-25,1,1,5.0,4,4,21,5,0,2,4,75,7.2,1.4,0.754,5.0,1,starter
20240167,10131,9002,7002,05-01,1,1,3.0,6,6,20,8,1,2,2,68,18.0,3.33,1.35,3.0,1,starter
20240307,10131,9002,10001,06-02,1,1,3.1,2,2,16,3,0,2,1,70,5.4,1.5,0.771,3.333333333333333,1,starter
20240369,10131,9002,7002,06-16,1,1,2.2,3,3,14,4,0,2,2,64,10.13,2.25,0.9,2.6666666666666665,1,starter
20241514,10131,9002,11001,09-25,1,1,4.2,1,1,18,2,1,2,6,70,1.93,0.86,0.611,4.666666666666667,1,starter
20250022,10131,9002,3001,03-27,1,1,3.2,2,2,18,1,0,4,3,70,4.91,1.36,0.48,3.6666666666666665,1,starter
20250089,10131,9002,2002,04-11,1,1,1.0,1,1,5,2,0,0,0,24,9.0,2.0,1.0,1.0,1,starter
20250117,10131,9002,5002,04-18,1,1,7.0,4,3,29,5,1,3,3,95,3.86,1.14,0.705,7.0,1,starter
20250147,10131,9002,10001,04-25,1,1,3.1,3,2,17,2,1,4,2,83,5.4,1.8,0.738,3.333333333333333,1,starter
20250186,10131,9002,5002,05-04,1,1,4.0,7,7,21,5,2,7,2,98,15.75,3.0,1.465,4.0,1,starter
20241534,10156,7002,11001,09-29,1,1,0.0,0,0,1,1,0,0,0,4,,99.99,2.0,0.0,1,starter
20250097,10217,11001,3001,04-13,1,1,2.0,5,5,15,4,0,3,2,63,22.5,3.5,1.2,2.0,1,starter
20250130,10217,11001,7002,04-20,1,1,4.0,2,2,16,5,1,0,5,64,4.5,1.25,0.876,4.0,1,starter
20250153,10217,11001,1001,04-26,1,1,3.2,4,4,20,4,0,5,3,86,9.82,2.45,0.736,3.6666666666666665,1,starter
20230220,10220,11001,1001,05-21,1,1,6.0,0,0,20,0,0,2,4,82,0.0,0.33,0.1,6.0,1,starter
20230245,10220,11001,7002,05-27,1,1,6.0,3,2,25,2,0,3,2,106,3.0,0.83,0.317,6.0,1,starter
20230276,10220,11001,5002,06-04,1,1,6.0,1,0,22,2,0,1,3,81,0.0,0.5,0.282,6.0,1,starter
20230305,10220,11001,9002,06-10,1,1,7.0,0,0,25,2,0,2,9,99,0.0,0.57,0.29,7.0,1,starter
