player_id,player_name,team_code,pj_date
15014,박준영,7002,2023-06-27
13676,권광민,7002,2023-06-13
11162,나성범,2002,2023-06-23
14178,장유호,7002,2023-06-27
12944,김건국,2002,2023-06-29
10690,김강률,6002,2023-06-29
15423,이민준,7002,2023-06-20
15503,류승민,1001,2023-06-11
12637,김승현,2002,2023-06-22
13147,정성종,3001,2023-06-07
13113,한준수,2002,2023-06-25
14109,이상동,12001,2023-06-03
11311,심재민,3001,2023-06-22
13156,최지명,1001,2023-06-13
12534,최원준,2002,2023-06-13
12622,김찬형,9002,2023-06-18
14221,최정원,11001,2023-06-28
14796,손성빈,3001,2023-06-15
13942,쿠에바스,12001,2023-06-17
15153,브랜든,6002,2023-06-24
15646,맥키니,10001,2023-06-25
15647,윌리엄스,7002,2023-06-27
11404,장필준,1001,2023-07-08
10304,하준호,12001,2023-07-27
10913,하주석,7002,2023-07-11
12989,박승주,10001,2023-08-01
12898,김태현,11001,2023-07-08
14576,이종민,10001,2023-08-01
14595,정구범,11001,2023-07-29
14175,김태근,6002,2023-07-21
15067,주승우,10001,2023-07-29
14133,주성원,10001,2023-07-11
11321,정성곤,9002,2023-07-04
12916,이정훈,3001,2023-07-11
12522,박준영,6002,2023-07-07
15627,윤수녕,3001,2023-08-01
15648,산체스,2002,2023-07-21
15147,파노니,2002,2023-07-12
14187,최승민,5002,2023-07-28
15651,구드럼,3001,2023-07-21
12295,윌커슨,3001,2023-07-26
15652,도슨,10001,2023-07-22
11116,이충호,7002,2023-08-02
12932,김시현,1001,2023-09-01
13081,김형준,11001,2023-08-23
14181,오선우,2002,2023-08-23
14204,허관회,7002,2023-09-01
11276,최설우,3001,2023-08-10
11144,노건우,1001,2023-08-22
12699,김강현,3001,2023-09-01
10840,신본기,12001,2023-08-26
14764,한재승,11001,2023-09-01
14851,김시앙,10001,2023-08-10
14871,김규연,7002,2023-08-02
13191,서동민,9002,2023-09-01
11108,이흥련,9002,2023-08-20
15028,이기순,9002,2023-09-01
15071,윤석원,10001,2023-08-13
15132,박수종,10001,2023-09-01
11170,윤호솔,5002,2023-08-26
14877,조현진,11001,2023-09-01
15474,오상원,10001,2023-08-20
15501,강준서,1001,2023-08-26
12531,김주한,9002,2023-09-01
13268,김호준,6002,2023-08-27
15624,서동욱,3001,2023-09-01
15625,배영빈,3001,2023-08-20
13124,김정우,6002,2023-09-01
14707,최인호,7002,2023-08-18
14115,김도환,1001,2023-08-31
15653,태너,11001,2023-08-15
14736,박지훈,6002,2023-09-01
15084,최원영,5002,2023-07-23
10299,장원준,6002,2023-09-09
13155,장두성,3001,2023-09-28
11491,박소준,6002,2023-09-13
14615,황동재,1001,2023-09-19
14654,하준수,11001,2023-09-28
10810,최항,9002,2023-09-12
13194,이정범,9002,2023-09-26
12869,박정우,2002,2023-09-23
11347,안익훈,5002,2023-09-03
11360,이우석,11001,2023-09-28
13093,예진원,10001,2023-09-29
15039,김서준,1001,2023-09-07
14129,박윤철,7002,2023-09-23
15139,이상혁,7002,2023-10-01
13003,이민우,7002,2023-09-07
12655,류희운,7002,2023-09-23
12902,이재용,7002,2023-10-01
15443,정대선,3001,2023-09-22
15445,석상호,3001,2023-09-08
15451,박한결,11001,2023-09-23
15477,송재선,10001,2023-10-01
15484,김범석,5002,2023-09-30
15497,박권후,1001,2023-09-20
12532,김대현,5002,2023-09-23
10172,국해성,3001,2023-09-29
14577,김병휘,10001,2023-09-28
15645,김동혁,3001,2023-09-22
12934,최지광,1001,2023-09-09
14586,류효승,9002,2023-09-23
14132,조영건,10001,2023-09-15
14614,홍원표,1001,2023-09-26
10640,김헌곤,1001,2024-03-23
14163,박진,3001,2024-03-23
14211,박준형,10001,2024-03-27
12908,손주영,5002,2024-03-28
14807,고명준,9002,2024-03-23
13152,최하늘,1001,2024-03-23
12574,서의태,11001,2024-03-23
13228,한두솔,9002,2024-03-23
11229,김유영,5002,2024-03-23
14819,이주찬,3001,2024-03-23
13072,김민규,6002,2024-03-30
15860,코너,1001,2024-03-23
15861,레예스,1001,2024-03-23
14616,이승민,1001,2024-03-28
12995,로하스,12001,2024-03-23
14606,천성호,12001,2024-03-23
14805,조병현,9002,2024-03-23
14611,박민,2002,2024-03-23
14140,구본혁,5002,2024-03-23
11126,조상우,10001,2024-03-23
14480,김인범,10001,2024-03-29
14706,임종찬,7002,2024-03-23
15000,라모스,6002,2024-03-23
16013,김현종,5002,2024-03-23
16023,엔스,5002,2024-03-23
16027,원상현,12001,2024-03-23
16064,카스타노,11001,2024-03-23
16065,하트,11001,2024-03-23
16066,데이비슨,11001,2024-03-23
16087,크로우,2002,2024-03-23
16088,네일,2002,2024-03-23
16089,전미르,3001,2024-03-23
16106,레이예스,3001,2024-03-23
16107,황준서,7002,2024-03-30
16121,페라자,7002,2024-03-23
16122,전준표,10001,2024-03-23
16123,김윤하,10001,2024-03-23
16124,이재상,10001,2024-03-23
16125,손현기,10001,2024-03-23
16127,김연주,10001,2024-03-23
16128,고영우,10001,2024-03-23
