game_id,player_id,team_code,PA,AB,H,HR,RBI,BB,SO,R,H2,H3,HBP,SB,CS,SF,AVG,OBP,SLG,OPS
20241455,10008,2002,4,3,2,0,1,0,0,0,,,,0,0,0,0.667,0.667,1.0,1.667
20241525,10008,2002,4,4,3,0,1,0,0,1,,,,0,0,0,0.75,0.75,1.0,1.75
20241473,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20241477,10008,2002,5,5,3,0,1,0,0,1,,,,0,0,0,0.6,0.6,0.6,1.2
20241481,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.5,1.0
20241484,10008,2002,4,4,3,0,0,0,1,0,,,,0,0,0,0.75,0.75,0.75,1.5
20241490,10008,2002,4,4,1,0,1,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20250005,10008,2002,4,3,2,0,2,1,0,1,,,,0,0,0,0.667,0.75,0.667,1.417
20250010,10008,2002,4,4,2,0,1,0,0,1,,,,0,0,0,0.5,0.5,0.75,1.25
20250015,10008,2002,5,4,2,0,2,1,0,1,,,,0,0,0,0.5,0.6,0.5,1.1
20250020,10008,2002,6,5,0,0,0,1,1,0,,,,0,0,0,0.0,0.167,0.0,0.167
20250025,10008,2002,5,4,3,0,0,1,0,1,,,,0,0,0,0.75,0.8,1.0,1.8
20250028,10008,2002,3,3,1,0,0,0,1,0,,,,0,0,0,0.333,0.333,0.333,0.666
20250033,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250038,10008,2002,1,1,1,0,1,0,0,0,,,,0,0,0,1.0,1.0,2.0,3.0
20250049,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250116,10008,2002,3,2,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250126,10008,2002,4,2,1,0,1,2,0,0,,,,0,0,0,0.5,0.75,1.0,1.75
20250138,10008,2002,4,4,1,0,0,0,1,0,,,,0,0,0,0.25,0.25,0.25,0.5
20250143,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250149,10008,2002,5,5,2,0,0,0,2,0,,,,0,0,0,0.4,0.4,0.4,0.8
20250154,10008,2002,5,4,0,0,0,1,0,1,,,,0,0,0,0.0,0.2,0.0,0.2
20250159,10008,2002,4,4,2,0,1,0,0,0,,,,0,0,0,0.5,0.5,0.75,1.25
20250163,10008,2002,5,5,4,0,3,0,0,3,,,,0,0,0,0.8,0.8,1.0,1.8
20250168,10008,2002,4,3,0,0,0,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20250180,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250190,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20250194,10008,2002,5,3,2,0,0,2,1,2,,,,0,0,0,0.667,0.8,1.0,1.8
20250199,10008,2002,4,3,0,0,1,0,1,0,,,,0,0,1,0.0,0.0,0.0,0.0
20250204,10008,2002,5,3,2,0,1,2,0,0,,,,1,0,0,0.667,0.8,1.0,1.8
20250212,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250217,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250792,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250224,10008,2002,4,3,0,0,0,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20250229,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250234,10008,2002,4,4,1,0,2,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20250801,10008,2002,4,1,1,0,0,3,0,1,,,,1,0,0,1.0,1.0,2.0,3.0
20250244,10008,2002,4,4,0,0,1,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20250249,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
